number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
124,0.41101580112610286,2025-04-24 21:29:01.528174,2025-04-24 21:29:43.285982,0 days 00:00:41.757808,True,absolute_error,47,,2,2,799,TPESampler,COMPLETE
125,0.37759010768561707,2025-04-24 21:29:05.379995,2025-04-24 21:30:17.420937,0 days 00:01:12.040942,True,absolute_error,44,,1,6,803,TPESampler,COMPLETE
126,0.8339233448905706,2025-04-24 21:29:21.289297,2025-04-24 21:29:24.708602,0 days 00:00:03.419305,False,absolute_error,8,log2,1,2,360,TPESampler,COMPLETE
127,0.38724221937668935,2025-04-24 21:29:24.891334,2025-04-24 21:29:30.635092,0 days 00:00:05.743758,True,squared_error,38,,1,2,819,TPESampler,COMPLETE
128,0.36836080684360867,2025-04-24 21:29:30.797425,2025-04-24 21:30:53.230018,0 days 00:01:22.432593,True,absolute_error,43,,1,3,772,TPESampler,COMPLETE
129,0.36906315139266327,2025-04-24 21:29:43.447593,2025-04-24 21:31:19.807743,0 days 00:01:36.360150,True,absolute_error,49,,1,2,921,TPESampler,COMPLETE
130,0.6764560507918908,2025-04-24 21:30:17.867021,2025-04-24 21:30:18.932997,0 days 00:00:01.065976,False,squared_error,25,log2,1,40,495,TPESampler,COMPLETE
131,0.3701870560713945,2025-04-24 21:30:19.089561,2025-04-24 21:31:26.894405,0 days 00:01:07.804844,True,absolute_error,49,,1,3,602,TPESampler,COMPLETE
132,0.36939125263975164,2025-04-24 21:30:53.389305,2025-04-24 21:31:58.635093,0 days 00:01:05.245788,True,absolute_error,48,,1,2,674,TPESampler,COMPLETE
133,0.3692921396486323,2025-04-24 21:31:19.974897,2025-04-24 21:33:16.045096,0 days 00:01:56.070199,True,absolute_error,43,,1,2,924,TPESampler,COMPLETE
134,0.36920697967395255,2025-04-24 21:31:27.074201,2025-04-24 21:33:02.603172,0 days 00:01:35.528971,True,absolute_error,48,,1,2,809,TPESampler,COMPLETE
135,0.5561831490704577,2025-04-24 21:31:58.794007,2025-04-24 21:32:11.831491,0 days 00:00:13.037484,True,absolute_error,37,log2,1,7,894,TPESampler,COMPLETE
136,0.4603289264515974,2025-04-24 21:32:11.995684,2025-04-24 21:32:30.404745,0 days 00:00:18.409061,True,absolute_error,48,log2,1,2,977,TPESampler,COMPLETE
137,0.4116832815601651,2025-04-24 21:32:30.571911,2025-04-24 21:33:32.882280,0 days 00:01:02.310369,True,absolute_error,50,,2,4,900,TPESampler,COMPLETE
138,0.37095134337452423,2025-04-24 21:33:02.761586,2025-04-24 21:34:36.556480,0 days 00:01:33.794894,True,absolute_error,44,,1,4,842,TPESampler,COMPLETE
139,0.36930679496119745,2025-04-24 21:33:16.208316,2025-04-24 21:34:45.358648,0 days 00:01:29.150332,True,absolute_error,46,,1,2,901,TPESampler,COMPLETE
140,0.39172109892186946,2025-04-24 21:33:33.043905,2025-04-24 21:35:05.281799,0 days 00:01:32.237894,True,absolute_error,23,,1,3,816,TPESampler,COMPLETE
141,0.3954927286040816,2025-04-24 21:34:36.719672,2025-04-24 21:34:39.058118,0 days 00:00:02.338446,True,squared_error,50,sqrt,1,3,739,TPESampler,COMPLETE
142,0.44337796307508576,2025-04-24 21:34:39.215368,2025-04-24 21:35:52.196785,0 days 00:01:12.981417,False,absolute_error,37,,1,2,467,TPESampler,COMPLETE
143,0.8171064162006035,2025-04-24 21:34:45.526539,2025-04-24 21:34:48.766608,0 days 00:00:03.240069,False,absolute_error,45,sqrt,9,9,643,TPESampler,COMPLETE
144,0.5551298380270622,2025-04-24 21:34:48.930058,2025-04-24 21:34:51.129299,0 days 00:00:02.199241,False,squared_error,16,sqrt,1,2,875,TPESampler,COMPLETE
145,0.3685639794833449,2025-04-24 21:34:51.294541,2025-04-24 21:36:11.140198,0 days 00:01:19.845657,True,absolute_error,47,,1,2,823,TPESampler,COMPLETE
146,0.5105442509136013,2025-04-24 21:35:05.455374,2025-04-24 21:35:17.875960,0 days 00:00:12.420586,True,absolute_error,18,,6,2,625,TPESampler,COMPLETE
147,0.36913418847269985,2025-04-24 21:35:18.038189,2025-04-24 21:36:39.071675,0 days 00:01:21.033486,True,absolute_error,50,,1,3,847,TPESampler,COMPLETE
148,0.5708746176337778,2025-04-24 21:35:52.371336,2025-04-24 21:36:02.127044,0 days 00:00:09.755708,True,absolute_error,48,sqrt,2,2,713,TPESampler,COMPLETE
149,0.4679954330726196,2025-04-24 21:36:02.296968,2025-04-24 21:36:05.786846,0 days 00:00:03.489878,True,squared_error,48,,3,2,779,TPESampler,COMPLETE
150,0.6069783705239672,2025-04-24 21:36:06.028920,2025-04-24 21:36:07.430122,0 days 00:00:01.401202,True,squared_error,6,,10,13,339,TPESampler,COMPLETE
151,0.9443721823687254,2025-04-24 21:36:07.596367,2025-04-24 21:36:08.401494,0 days 00:00:00.805127,False,absolute_error,9,log2,15,37,204,TPESampler,COMPLETE
152,0.37380868365972986,2025-04-24 21:36:08.569010,2025-04-24 21:37:16.399250,0 days 00:01:07.830240,True,absolute_error,33,,1,2,651,TPESampler,COMPLETE
153,0.9351403901327789,2025-04-24 21:36:11.325871,2025-04-24 21:36:12.516196,0 days 00:00:01.190325,True,squared_error,40,sqrt,14,6,419,TPESampler,COMPLETE
154,0.3687088817951843,2025-04-24 21:36:12.682977,2025-04-24 21:37:35.224625,0 days 00:01:22.541648,True,absolute_error,46,,1,2,771,TPESampler,COMPLETE
155,0.6786985694106575,2025-04-24 21:36:39.242353,2025-04-24 21:36:54.369525,0 days 00:00:15.127172,False,absolute_error,19,log2,1,5,969,TPESampler,COMPLETE
