number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
106,0.6180856799418332,2025-04-24 21:01:07.993038,2025-04-24 21:01:08.727532,0 days 00:00:00.734494,friedman_mse,35,sqrt,2,7,best,TPESampler,COMPLETE
107,0.6123055294357905,2025-04-24 21:01:08.099728,2025-04-24 21:01:09.055422,0 days 00:00:00.955694,squared_error,33,sqrt,3,4,random,TPESampler,COMPLETE
108,0.5701537892765277,2025-04-24 21:01:08.562196,2025-04-24 21:01:09.499296,0 days 00:00:00.937100,absolute_error,35,sqrt,2,8,best,TPESampler,COMPLETE
109,0.6333443902240995,2025-04-24 21:01:08.996182,2025-04-24 21:01:09.846136,0 days 00:00:00.849954,friedman_mse,27,sqrt,1,8,random,TPESampler,COMPLETE
110,0.628823225743699,2025-04-24 21:01:09.386906,2025-04-24 21:01:10.192889,0 days 00:00:00.805983,friedman_mse,33,log2,1,20,best,TPESampler,COMPLETE
111,0.5363625633065204,2025-04-24 21:01:09.766643,2025-04-24 21:01:10.573520,0 days 00:00:00.806877,squared_error,26,sqrt,1,10,best,TPESampler,COMPLETE
112,0.9018784399194749,2025-04-24 21:01:10.088687,2025-04-24 21:01:10.861417,0 days 00:00:00.772730,squared_error,26,log2,10,12,random,TPESampler,COMPLETE
113,0.5339224783480143,2025-04-24 21:01:10.449048,2025-04-24 21:01:11.175583,0 days 00:00:00.726535,squared_error,35,sqrt,1,8,best,TPESampler,COMPLETE
114,0.6180856799418332,2025-04-24 21:01:10.799472,2025-04-24 21:01:11.430607,0 days 00:00:00.631135,squared_error,33,sqrt,2,7,best,TPESampler,COMPLETE
115,0.8610424961550007,2025-04-24 21:01:11.096520,2025-04-24 21:01:11.914267,0 days 00:00:00.817747,friedman_mse,6,sqrt,4,13,random,TPESampler,COMPLETE
116,0.4831415131013947,2025-04-24 21:01:11.392470,2025-04-24 21:01:12.138945,0 days 00:00:00.746475,squared_error,31,sqrt,1,8,best,TPESampler,COMPLETE
117,0.5085288623263258,2025-04-24 21:01:11.709967,2025-04-24 21:01:12.482927,0 days 00:00:00.772960,squared_error,35,sqrt,1,9,best,TPESampler,COMPLETE
118,0.47345457294892884,2025-04-24 21:01:12.156480,2025-04-24 21:01:12.965315,0 days 00:00:00.808835,squared_error,34,sqrt,1,10,best,TPESampler,COMPLETE
119,0.9016215139057422,2025-04-24 21:01:12.384636,2025-04-24 21:01:13.103619,0 days 00:00:00.718983,absolute_error,2,log2,9,14,random,TPESampler,COMPLETE
120,0.8971135230143974,2025-04-24 21:01:12.814918,2025-04-24 21:01:13.537818,0 days 00:00:00.722900,absolute_error,2,sqrt,5,14,best,TPESampler,COMPLETE
121,0.5628830452201053,2025-04-24 21:01:13.161554,2025-04-24 21:01:13.928377,0 days 00:00:00.766823,squared_error,33,sqrt,1,8,random,TPESampler,COMPLETE
122,0.6564152842047275,2025-04-24 21:01:13.356542,2025-04-24 21:01:14.270124,0 days 00:00:00.913582,squared_error,32,log2,1,8,best,TPESampler,COMPLETE
123,0.5329702439043837,2025-04-24 21:01:13.802765,2025-04-24 21:01:14.512770,0 days 00:00:00.710005,squared_error,35,sqrt,1,11,best,TPESampler,COMPLETE
124,0.49455983062803255,2025-04-24 21:01:14.196439,2025-04-24 21:01:14.987342,0 days 00:00:00.790903,squared_error,28,sqrt,1,9,best,TPESampler,COMPLETE
125,0.8737590921917946,2025-04-24 21:01:14.589456,2025-04-24 21:01:15.813055,0 days 00:00:01.223599,squared_error,25,sqrt,8,4,random,TPESampler,COMPLETE
126,0.8924908961230087,2025-04-24 21:01:14.817471,2025-04-24 21:01:15.854868,0 days 00:00:01.037397,absolute_error,1,sqrt,1,7,random,TPESampler,COMPLETE
127,0.5378330558023339,2025-04-24 21:01:15.423663,2025-04-24 21:01:16.296883,0 days 00:00:00.873220,squared_error,27,sqrt,1,9,best,TPESampler,COMPLETE
128,0.5050330543762468,2025-04-24 21:01:16.018137,2025-04-24 21:01:16.745615,0 days 00:00:00.727478,squared_error,29,sqrt,1,10,best,TPESampler,COMPLETE
129,0.6895998002818075,2025-04-24 21:01:16.083672,2025-04-24 21:01:17.011061,0 days 00:00:00.927389,squared_error,28,sqrt,4,10,best,TPESampler,COMPLETE
130,0.5114477233942855,2025-04-24 21:01:16.519168,2025-04-24 21:01:17.325172,0 days 00:00:00.806004,squared_error,28,sqrt,1,8,best,TPESampler,COMPLETE
131,0.90157797490464,2025-04-24 21:01:16.955414,2025-04-24 21:01:17.622172,0 days 00:00:00.666758,squared_error,16,log2,9,4,best,TPESampler,COMPLETE
132,0.5185211704314117,2025-04-24 21:01:17.247265,2025-04-24 21:01:18.101719,0 days 00:00:00.854454,squared_error,30,sqrt,1,10,best,TPESampler,COMPLETE
133,0.565032535793402,2025-04-24 21:01:17.571546,2025-04-24 21:01:18.290087,0 days 00:00:00.718541,squared_error,32,sqrt,1,9,best,TPESampler,COMPLETE
134,0.5339224783480143,2025-04-24 21:01:17.876004,2025-04-24 21:01:18.536103,0 days 00:00:00.660099,squared_error,35,sqrt,1,8,best,TPESampler,COMPLETE
135,0.5230033993372178,2025-04-24 21:01:18.381860,2025-04-24 21:01:19.086842,0 days 00:00:00.704982,squared_error,24,sqrt,1,7,best,TPESampler,COMPLETE
136,0.8815969444241439,2025-04-24 21:01:18.602154,2025-04-24 21:01:19.370447,0 days 00:00:00.768293,absolute_error,6,sqrt,4,4,best,TPESampler,COMPLETE
137,0.8790475103328365,2025-04-24 21:01:18.914380,2025-04-24 21:01:19.640379,0 days 00:00:00.725999,absolute_error,32,log2,5,4,random,TPESampler,COMPLETE
138,0.6003595869177848,2025-04-24 21:01:19.347571,2025-04-24 21:01:20.390825,0 days 00:00:01.043254,absolute_error,34,sqrt,1,15,best,TPESampler,COMPLETE
139,0.6026460009830784,2025-04-24 21:01:19.590763,2025-04-24 21:01:20.541525,0 days 00:00:00.950762,absolute_error,35,sqrt,4,12,best,TPESampler,COMPLETE
140,0.5085251300670954,2025-04-24 21:01:19.944234,2025-04-24 21:01:20.712275,0 days 00:00:00.768041,friedman_mse,29,sqrt,1,9,best,TPESampler,COMPLETE
141,0.6090096365412528,2025-04-24 21:01:20.624112,2025-04-24 21:01:21.361176,0 days 00:00:00.737064,friedman_mse,29,log2,1,6,best,TPESampler,COMPLETE
142,0.4966168010617349,2025-04-24 21:01:20.794659,2025-04-24 21:01:21.731765,0 days 00:00:00.937106,friedman_mse,28,sqrt,1,11,best,TPESampler,COMPLETE
143,0.5339224783480143,2025-04-24 21:01:20.996758,2025-04-24 21:01:21.880120,0 days 00:00:00.883362,squared_error,35,sqrt,1,8,best,TPESampler,COMPLETE
144,0.6289323974475082,2025-04-24 21:01:21.669433,2025-04-24 21:01:22.328619,0 days 00:00:00.659186,friedman_mse,25,sqrt,2,10,best,TPESampler,COMPLETE
145,0.5327880009702136,2025-04-24 21:01:21.956157,2025-04-24 21:01:22.713066,0 days 00:00:00.756909,friedman_mse,26,sqrt,1,9,best,TPESampler,COMPLETE
146,0.5392261741295051,2025-04-24 21:01:22.152179,2025-04-24 21:01:22.909648,0 days 00:00:00.757469,friedman_mse,26,sqrt,1,12,best,TPESampler,COMPLETE
147,0.669978548406639,2025-04-24 21:01:22.649101,2025-04-24 21:01:23.266306,0 days 00:00:00.617205,friedman_mse,32,log2,1,14,random,TPESampler,COMPLETE
148,0.6825419058975224,2025-04-24 21:01:22.984280,2025-04-24 21:01:23.796000,0 days 00:00:00.811720,friedman_mse,32,sqrt,4,9,best,TPESampler,COMPLETE
149,0.6289323974475082,2025-04-24 21:01:23.157914,2025-04-24 21:01:23.924376,0 days 00:00:00.766462,friedman_mse,32,sqrt,2,10,best,TPESampler,COMPLETE
150,0.6807108048919962,2025-04-24 21:01:23.581360,2025-04-24 21:01:24.205324,0 days 00:00:00.623964,squared_error,34,sqrt,8,19,best,TPESampler,COMPLETE
151,0.5020512557327408,2025-04-24 21:01:24.061976,2025-04-24 21:01:24.873556,0 days 00:00:00.811580,friedman_mse,30,sqrt,1,8,best,TPESampler,COMPLETE
152,0.878930627702796,2025-04-24 21:01:24.157300,2025-04-24 21:01:25.115843,0 days 00:00:00.958543,squared_error,11,log2,5,18,random,TPESampler,COMPLETE
153,0.8621585055231861,2025-04-24 21:01:24.403658,2025-04-24 21:01:25.245002,0 days 00:00:00.841344,friedman_mse,8,log2,1,4,random,TPESampler,COMPLETE
154,0.5085726818050148,2025-04-24 21:01:25.105949,2025-04-24 21:01:25.819683,0 days 00:00:00.713734,friedman_mse,34,sqrt,1,9,best,TPESampler,COMPLETE
