number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
130,0.9347481389709953,2025-04-24 21:01:23.877525,2025-04-24 21:01:24.500744,0 days 00:00:00.623219,friedman_mse,14,sqrt,6,9,random,TPESampler,COMPLETE
131,0.9201355635266542,2025-04-24 21:01:24.078460,2025-04-24 21:01:24.815822,0 days 00:00:00.737362,squared_error,35,log2,1,4,random,TPESampler,COMPLETE
132,0.6979596766643811,2025-04-24 21:01:24.279396,2025-04-24 21:01:25.016601,0 days 00:00:00.737205,squared_error,28,log2,1,5,best,TPESampler,COMPLETE
133,0.4857647657734063,2025-04-24 21:01:24.760761,2025-04-24 21:01:25.613176,0 days 00:00:00.852415,squared_error,32,log2,1,2,best,TPESampler,COMPLETE
134,0.7975493713728398,2025-04-24 21:01:25.097279,2025-04-24 21:01:26.156642,0 days 00:00:01.059363,squared_error,35,log2,2,4,best,TPESampler,COMPLETE
135,0.458106663082747,2025-04-24 21:01:25.321050,2025-04-24 21:01:26.153779,0 days 00:00:00.832729,squared_error,35,log2,1,6,best,TPESampler,COMPLETE
136,0.8894105515009568,2025-04-24 21:01:25.901877,2025-04-24 21:01:26.559144,0 days 00:00:00.657267,friedman_mse,25,sqrt,9,5,best,TPESampler,COMPLETE
137,0.6775674127828398,2025-04-24 21:01:26.434264,2025-04-24 21:01:27.294778,0 days 00:00:00.860514,squared_error,31,log2,1,7,best,TPESampler,COMPLETE
138,0.7975493713728398,2025-04-24 21:01:26.490294,2025-04-24 21:01:27.545106,0 days 00:00:01.054812,squared_error,30,log2,3,7,best,TPESampler,COMPLETE
139,0.6676849480746322,2025-04-24 21:01:26.788443,2025-04-24 21:01:27.646875,0 days 00:00:00.858432,absolute_error,35,log2,1,2,best,TPESampler,COMPLETE
140,0.4646442062482263,2025-04-24 21:01:27.604897,2025-04-24 21:01:28.232081,0 days 00:00:00.627184,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
141,0.7975493713728398,2025-04-24 21:01:27.774401,2025-04-24 21:01:28.681083,0 days 00:00:00.906682,squared_error,35,log2,2,6,best,TPESampler,COMPLETE
142,0.44670023329729247,2025-04-24 21:01:27.823895,2025-04-24 21:01:28.810947,0 days 00:00:00.987052,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
143,0.5436620092712224,2025-04-24 21:01:28.487803,2025-04-24 21:01:29.087648,0 days 00:00:00.599845,friedman_mse,35,log2,1,5,best,TPESampler,COMPLETE
144,0.5854921865696825,2025-04-24 21:01:28.925760,2025-04-24 21:01:29.860113,0 days 00:00:00.934353,squared_error,34,sqrt,1,6,best,TPESampler,COMPLETE
145,0.44670023329729247,2025-04-24 21:01:29.034455,2025-04-24 21:01:29.861555,0 days 00:00:00.827100,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
146,0.44670023329729247,2025-04-24 21:01:29.403113,2025-04-24 21:01:30.054016,0 days 00:00:00.650903,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
147,0.4694960500030294,2025-04-24 21:01:30.103165,2025-04-24 21:01:31.353250,0 days 00:00:01.250085,squared_error,34,log2,1,8,best,TPESampler,COMPLETE
148,0.5272586340934163,2025-04-24 21:01:30.161152,2025-04-24 21:01:31.045044,0 days 00:00:00.883892,squared_error,32,log2,1,8,best,TPESampler,COMPLETE
149,0.7975493713728398,2025-04-24 21:01:30.441786,2025-04-24 21:01:31.354918,0 days 00:00:00.913132,squared_error,33,log2,2,8,best,TPESampler,COMPLETE
150,0.7975493713728398,2025-04-24 21:01:31.294150,2025-04-24 21:01:31.889219,0 days 00:00:00.595069,squared_error,35,log2,2,7,best,TPESampler,COMPLETE
151,0.4438474442892985,2025-04-24 21:01:31.583635,2025-04-24 21:01:32.435115,0 days 00:00:00.851480,squared_error,35,log2,1,10,best,TPESampler,COMPLETE
152,0.4438474442892985,2025-04-24 21:01:31.646029,2025-04-24 21:01:32.490606,0 days 00:00:00.844577,squared_error,35,log2,1,10,best,TPESampler,COMPLETE
153,0.44670023329729247,2025-04-24 21:01:32.155743,2025-04-24 21:01:33.232194,0 days 00:00:01.076451,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
154,0.6886604206766617,2025-04-24 21:01:32.654304,2025-04-24 21:01:33.517288,0 days 00:00:00.862984,squared_error,31,log2,1,16,best,TPESampler,COMPLETE
155,0.6750604722884704,2025-04-24 21:01:32.701812,2025-04-24 21:01:33.518846,0 days 00:00:00.817034,squared_error,28,log2,1,13,best,TPESampler,COMPLETE
156,0.7975493713728398,2025-04-24 21:01:33.468666,2025-04-24 21:01:34.090847,0 days 00:00:00.622181,squared_error,35,log2,2,11,best,TPESampler,COMPLETE
