number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
120,0.5669738735012982,2025-04-24 21:01:04.051897,2025-04-24 21:01:04.941290,0 days 00:00:00.889393,friedman_mse,35,sqrt,1,4,random,TPESampler,COMPLETE
121,0.5781700102250805,2025-04-24 21:01:04.626765,2025-04-24 21:01:05.479994,0 days 00:00:00.853229,friedman_mse,34,sqrt,1,3,random,TPESampler,COMPLETE
122,0.5901353558999477,2025-04-24 21:01:04.885269,2025-04-24 21:01:05.655965,0 days 00:00:00.770696,friedman_mse,35,sqrt,1,2,random,TPESampler,COMPLETE
123,0.5669738735012982,2025-04-24 21:01:05.207857,2025-04-24 21:01:05.959603,0 days 00:00:00.751746,friedman_mse,35,sqrt,1,4,random,TPESampler,COMPLETE
124,0.7092445813596325,2025-04-24 21:01:05.724493,2025-04-24 21:01:06.581560,0 days 00:00:00.857067,friedman_mse,35,log2,2,2,best,TPESampler,COMPLETE
125,0.689760431628426,2025-04-24 21:01:05.904067,2025-04-24 21:01:07.003175,0 days 00:00:01.099108,friedman_mse,32,sqrt,3,2,random,TPESampler,COMPLETE
126,0.689760431628426,2025-04-24 21:01:06.178873,2025-04-24 21:01:07.327567,0 days 00:00:01.148694,friedman_mse,32,sqrt,3,2,random,TPESampler,COMPLETE
127,0.5950903114898565,2025-04-24 21:01:07.020151,2025-04-24 21:01:07.896724,0 days 00:00:00.876573,friedman_mse,34,sqrt,1,4,random,TPESampler,COMPLETE
128,0.9964161010826412,2025-04-24 21:01:07.380616,2025-04-24 21:01:08.422591,0 days 00:00:01.041975,friedman_mse,10,log2,3,5,random,TPESampler,COMPLETE
129,0.6966704703661589,2025-04-24 21:01:07.628731,2025-04-24 21:01:08.584318,0 days 00:00:00.955587,friedman_mse,34,sqrt,1,2,best,TPESampler,COMPLETE
130,0.5890991875910309,2025-04-24 21:01:08.164320,2025-04-24 21:01:08.856153,0 days 00:00:00.691833,friedman_mse,34,sqrt,1,2,random,TPESampler,COMPLETE
131,0.5890991875910309,2025-04-24 21:01:08.685962,2025-04-24 21:01:09.564790,0 days 00:00:00.878828,friedman_mse,34,sqrt,1,2,random,TPESampler,COMPLETE
132,0.6275961063708742,2025-04-24 21:01:08.809767,2025-04-24 21:01:09.675735,0 days 00:00:00.865968,friedman_mse,32,sqrt,1,3,random,TPESampler,COMPLETE
133,0.6566756190269205,2025-04-24 21:01:09.123880,2025-04-24 21:01:09.944505,0 days 00:00:00.820625,friedman_mse,34,sqrt,2,2,random,TPESampler,COMPLETE
134,0.5781700102250805,2025-04-24 21:01:09.820226,2025-04-24 21:01:10.654257,0 days 00:00:00.834031,friedman_mse,34,sqrt,1,3,random,TPESampler,COMPLETE
135,0.6657519179651408,2025-04-24 21:01:09.890210,2025-04-24 21:01:10.761173,0 days 00:00:00.870963,absolute_error,34,sqrt,3,2,random,TPESampler,COMPLETE
136,0.6438247230552657,2025-04-24 21:01:10.410462,2025-04-24 21:01:11.019082,0 days 00:00:00.608620,friedman_mse,35,sqrt,2,6,random,TPESampler,COMPLETE
137,0.9581948037924227,2025-04-24 21:01:10.888042,2025-04-24 21:01:11.664441,0 days 00:00:00.776399,absolute_error,35,sqrt,8,18,random,TPESampler,COMPLETE
138,0.6783568392569116,2025-04-24 21:01:10.946320,2025-04-24 21:01:11.960911,0 days 00:00:01.014591,absolute_error,35,sqrt,1,3,best,TPESampler,COMPLETE
139,0.6253040124771999,2025-04-24 21:01:11.224468,2025-04-24 21:01:12.002229,0 days 00:00:00.777761,absolute_error,33,sqrt,1,7,random,TPESampler,COMPLETE
140,0.5910861426343554,2025-04-24 21:01:11.881815,2025-04-24 21:01:12.547064,0 days 00:00:00.665249,friedman_mse,35,sqrt,1,6,random,TPESampler,COMPLETE
141,0.6263503106302462,2025-04-24 21:01:12.164097,2025-04-24 21:01:13.060074,0 days 00:00:00.895977,friedman_mse,32,sqrt,1,2,random,TPESampler,COMPLETE
142,0.6458391393380777,2025-04-24 21:01:12.212832,2025-04-24 21:01:13.070067,0 days 00:00:00.857235,friedman_mse,29,sqrt,1,2,random,TPESampler,COMPLETE
143,0.9964161010826412,2025-04-24 21:01:12.788252,2025-04-24 21:01:13.517828,0 days 00:00:00.729576,friedman_mse,35,log2,3,3,random,TPESampler,COMPLETE
144,0.572323290498834,2025-04-24 21:01:13.270848,2025-04-24 21:01:14.055342,0 days 00:00:00.784494,friedman_mse,35,sqrt,1,3,random,TPESampler,COMPLETE
145,0.9928365741172522,2025-04-24 21:01:13.308580,2025-04-24 21:01:14.173663,0 days 00:00:00.865083,friedman_mse,14,log2,10,11,best,TPESampler,COMPLETE
146,0.6949911495692318,2025-04-24 21:01:13.772427,2025-04-24 21:01:14.520168,0 days 00:00:00.747741,absolute_error,31,sqrt,4,19,best,TPESampler,COMPLETE
147,0.991219443504939,2025-04-24 21:01:14.276067,2025-04-24 21:01:14.961308,0 days 00:00:00.685241,squared_error,2,log2,4,3,best,TPESampler,COMPLETE
148,0.5910861426343554,2025-04-24 21:01:14.516071,2025-04-24 21:01:15.582148,0 days 00:00:01.066077,friedman_mse,35,sqrt,1,6,random,TPESampler,COMPLETE
149,0.971526010237953,2025-04-24 21:01:14.790634,2025-04-24 21:01:15.941292,0 days 00:00:01.150658,absolute_error,28,log2,7,2,random,TPESampler,COMPLETE
150,0.5901353558999477,2025-04-24 21:01:15.219312,2025-04-24 21:01:16.119069,0 days 00:00:00.899757,friedman_mse,35,sqrt,1,2,random,TPESampler,COMPLETE
151,0.6967744084571467,2025-04-24 21:01:15.887519,2025-04-24 21:01:16.580516,0 days 00:00:00.692997,absolute_error,30,sqrt,4,15,best,TPESampler,COMPLETE
152,0.729585803155114,2025-04-24 21:01:16.179139,2025-04-24 21:01:16.833006,0 days 00:00:00.653867,friedman_mse,18,sqrt,2,2,random,TPESampler,COMPLETE
153,0.6275961063708742,2025-04-24 21:01:16.413585,2025-04-24 21:01:17.217907,0 days 00:00:00.804322,friedman_mse,32,sqrt,1,3,random,TPESampler,COMPLETE
