number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
692,0.16659092903137207,2025-04-25 22:48:57.728934,2025-04-25 22:49:31.768993,0 days 00:00:34.040059,1,93,214,111.0,,,2,91,0.1630611889763053,0.0008638568657592469,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_692_best_state.pt,"{'learning_rate': 0.0008638568657592469, 'lr_reduce': 0.6}",TPESampler,COMPLETE
693,0.15585149824619293,2025-04-25 22:49:01.494255,2025-04-25 22:49:34.230689,0 days 00:00:32.736434,1,57,397,,,,1,128,0.2398251288714343,0.0014452544183874375,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_693_best_state.pt,"{'learning_rate': 0.0014452544183874375, 'lr_reduce': 0.6}",TPESampler,COMPLETE
694,0.15585610270500183,2025-04-25 22:49:18.777980,2025-04-25 22:49:36.324409,0 days 00:00:17.546429,1,101,307,372.0,,,2,104,0.184330905144176,0.0020079215246553593,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_694_best_state.pt,"{'learning_rate': 0.0020079215246553593, 'lr_reduce': 0.6}",TPESampler,COMPLETE
695,0.8887232542037964,2025-04-25 22:49:32.036623,2025-04-25 22:49:36.145580,0 days 00:00:04.108957,2,97,405,,,,1,56,0.0012132540917609014,0.0021116632518270043,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_695_best_state.pt,"{'learning_rate': 0.0021116632518270043, 'lr_reduce': 0.6}",TPESampler,COMPLETE
696,0.28054848313331604,2025-04-25 22:49:34.488331,2025-04-25 22:49:50.978587,0 days 00:00:16.490256,2,121,349,242.0,126.0,,3,128,0.21846696414067826,0.001023769488684611,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_696_best_state.pt,"{'learning_rate': 0.001023769488684611, 'lr_reduce': 0.6}",TPESampler,COMPLETE
697,0.13953645527362823,2025-04-25 22:49:36.330814,2025-04-25 22:49:51.801922,0 days 00:00:15.471108,1,71,339,144.0,64.0,,3,127,0.1592871596078211,0.0016344607188127432,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_697_best_state.pt,"{'learning_rate': 0.0016344607188127432, 'lr_reduce': 0.6}",TPESampler,COMPLETE
698,0.8933143615722656,2025-04-25 22:49:36.513567,2025-04-25 22:49:42.693868,0 days 00:00:06.180301,4,37,161,97.0,,,2,49,0.1185317762288944,0.0006200985569920464,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_698_best_state.pt,"{'learning_rate': 0.0006200985569920464, 'lr_reduce': 0.6}",TPESampler,COMPLETE
699,0.12466643750667572,2025-04-25 22:49:42.942036,2025-04-25 22:50:19.273825,0 days 00:00:36.331789,1,95,207,157.0,121.0,,3,102,0.12453016719649174,0.0008578702606304799,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_699_best_state.pt,"{'learning_rate': 0.0008578702606304799, 'lr_reduce': 0.6}",TPESampler,COMPLETE
700,0.8913823366165161,2025-04-25 22:49:51.295376,2025-04-25 22:49:55.581052,0 days 00:00:04.285676,1,60,165,,,,1,113,0.22319214751826505,0.00042773787963761874,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_700_best_state.pt,"{'learning_rate': 0.00042773787963761874, 'lr_reduce': 0.6}",TPESampler,COMPLETE
701,0.17270366847515106,2025-04-25 22:49:52.052870,2025-04-25 22:50:07.735373,0 days 00:00:15.682503,1,127,93,291.0,64.0,,3,61,0.11911048979390863,0.0026860760652057726,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_701_best_state.pt,"{'learning_rate': 0.0026860760652057726, 'lr_reduce': 0.6}",TPESampler,COMPLETE
702,0.13055652379989624,2025-04-25 22:49:55.812878,2025-04-25 22:50:26.823111,0 days 00:00:31.010233,1,52,470,211.0,,,2,98,0.21020306564677044,0.0012656947453611191,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_702_best_state.pt,"{'learning_rate': 0.0012656947453611191, 'lr_reduce': 0.6}",TPESampler,COMPLETE
703,0.11369291692972183,2025-04-25 22:50:07.983466,2025-04-25 22:50:44.341310,0 days 00:00:36.357844,1,97,340,64.0,,,2,127,0.19722101714077153,0.0017949852037229303,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_703_best_state.pt,"{'learning_rate': 0.0017949852037229303, 'lr_reduce': 0.6}",TPESampler,COMPLETE
704,0.13284505903720856,2025-04-25 22:50:19.518154,2025-04-25 22:50:57.354774,0 days 00:00:37.836620,1,99,201,134.0,,,2,127,0.15867612473432394,0.0020380441471070337,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_704_best_state.pt,"{'learning_rate': 0.0020380441471070337, 'lr_reduce': 0.6}",TPESampler,COMPLETE
705,0.22211918234825134,2025-04-25 22:50:27.204514,2025-04-25 22:50:47.660426,0 days 00:00:20.455912,1,89,71,338.0,154.0,401.0,4,92,0.09982818276384083,0.0020375062797842666,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_705_best_state.pt,"{'learning_rate': 0.0020375062797842666, 'lr_reduce': 0.6}",TPESampler,COMPLETE
706,0.8894780278205872,2025-04-25 22:50:44.617322,2025-04-25 22:50:49.504263,0 days 00:00:04.886941,2,95,355,106.0,,,2,110,0.1831392287203,0.0013052409091975994,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_706_best_state.pt,"{'learning_rate': 0.0013052409091975994, 'lr_reduce': 0.6}",TPESampler,COMPLETE
707,0.8882140517234802,2025-04-25 22:50:47.896409,2025-04-25 22:50:52.682779,0 days 00:00:04.786370,2,44,465,,,,1,119,0.003237909634557168,0.002305717628397678,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_707_best_state.pt,"{'learning_rate': 0.002305717628397678, 'lr_reduce': 0.6}",TPESampler,COMPLETE
