number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
72,0.1494219451657673,2025-04-24 21:01:09.674719,2025-04-24 21:01:32.835108,0 days 00:00:23.160389,80.36714632568281,0.021838157076857947,0.0008710442234794168,linear,TPESampler,COMPLETE
73,0.15214677177785713,2025-04-24 21:01:19.687005,2025-04-24 21:01:22.351828,0 days 00:00:02.664823,9.196763279441743,0.0377238367420452,0.0023077637077425404,linear,TPESampler,COMPLETE
74,1.370439108803623,2025-04-24 21:01:22.543390,2025-04-24 21:01:23.085062,0 days 00:00:00.541672,0.0026958266083408912,0.009451977645953989,0.004511129256979375,rbf,TPESampler,COMPLETE
75,0.6938675479986955,2025-04-24 21:01:23.266820,2025-04-24 21:01:23.819912,0 days 00:00:00.553092,0.47128905382647557,0.0011869297938494289,0.054582731779474404,rbf,TPESampler,COMPLETE
76,0.16155418317157352,2025-04-24 21:01:23.996392,2025-04-24 21:01:25.258961,0 days 00:00:01.262569,2.6487661148120862,0.04476536558009012,0.003959771793237493,linear,TPESampler,COMPLETE
77,0.5499446426054099,2025-04-24 21:01:25.462442,2025-04-24 21:01:25.962428,0 days 00:00:00.499986,0.001129347077141516,0.3294252142133903,0.0009717592587176641,linear,TPESampler,COMPLETE
78,0.34984266263640723,2025-04-24 21:01:26.154399,2025-04-24 21:01:26.743665,0 days 00:00:00.589266,50.569321152885706,0.06580281152400276,0.009123650298393675,poly,TPESampler,COMPLETE
79,0.27547516292308105,2025-04-24 21:01:26.932991,2025-04-24 21:01:27.637492,0 days 00:00:00.704501,6.47180424791229,0.04630105297333386,0.010678463681592096,rbf,TPESampler,COMPLETE
80,0.14961736923774163,2025-04-24 21:01:27.812037,2025-04-24 21:01:30.615039,0 days 00:00:02.803002,12.660239641852229,0.03255111799468943,0.11909371851701873,linear,TPESampler,COMPLETE
81,0.38014003659832374,2025-04-24 21:01:30.828078,2025-04-24 21:01:31.410003,0 days 00:00:00.581925,0.017085969786141814,0.0016510840270868422,0.3091261066193809,linear,TPESampler,COMPLETE
82,0.8912931389649926,2025-04-24 21:01:31.593124,2025-04-24 21:01:32.079558,0 days 00:00:00.486434,0.024231950711136176,0.6115592964594259,0.006858046264571836,poly,TPESampler,COMPLETE
