number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
98,0.3254948873881018,2025-04-24 21:20:12.126829,2025-04-24 21:20:45.075237,0 days 00:00:32.948408,False,absolute_error,50,sqrt,1,5,866,TPESampler,COMPLETE
99,0.42063825746108036,2025-04-24 21:20:13.716657,2025-04-24 21:20:29.156148,0 days 00:00:15.439491,False,absolute_error,47,sqrt,2,5,632,TPESampler,COMPLETE
100,0.49971849650552996,2025-04-24 21:20:19.791453,2025-04-24 21:20:20.851572,0 days 00:00:01.060119,False,squared_error,6,,1,49,164,TPESampler,COMPLETE
101,0.35672299817075764,2025-04-24 21:20:21.049877,2025-04-24 21:22:27.798327,0 days 00:02:06.748450,True,absolute_error,43,,1,2,868,TPESampler,COMPLETE
102,0.44668222394820734,2025-04-24 21:20:25.324293,2025-04-24 21:24:24.203722,0 days 00:03:58.879429,False,absolute_error,41,,1,4,959,TPESampler,COMPLETE
103,0.3284367300706021,2025-04-24 21:20:29.341405,2025-04-24 21:20:58.669147,0 days 00:00:29.327742,False,absolute_error,47,sqrt,1,4,707,TPESampler,COMPLETE
104,0.33669431979535863,2025-04-24 21:20:45.238180,2025-04-24 21:21:22.658790,0 days 00:00:37.420610,False,absolute_error,40,sqrt,1,4,933,TPESampler,COMPLETE
105,0.33702300958354553,2025-04-24 21:20:58.844886,2025-04-24 21:21:02.504508,0 days 00:00:03.659622,False,squared_error,49,sqrt,1,3,997,TPESampler,COMPLETE
106,0.5156498104924673,2025-04-24 21:21:02.667288,2025-04-24 21:21:04.496550,0 days 00:00:01.829262,True,squared_error,44,sqrt,3,3,915,TPESampler,COMPLETE
107,0.3269821964565152,2025-04-24 21:21:04.671775,2025-04-24 21:21:36.086954,0 days 00:00:31.415179,False,absolute_error,50,sqrt,1,4,832,TPESampler,COMPLETE
108,0.39938314238110173,2025-04-24 21:21:12.225154,2025-04-24 21:21:36.743351,0 days 00:00:24.518197,False,absolute_error,38,log2,1,3,833,TPESampler,COMPLETE
109,0.33110163338282445,2025-04-24 21:21:22.842851,2025-04-24 21:21:51.416175,0 days 00:00:28.573324,False,absolute_error,46,sqrt,1,5,688,TPESampler,COMPLETE
110,0.3439483085170856,2025-04-24 21:21:36.258582,2025-04-24 21:22:15.939965,0 days 00:00:39.681383,False,absolute_error,50,sqrt,1,2,956,TPESampler,COMPLETE
111,0.4549308232534492,2025-04-24 21:21:36.988881,2025-04-24 21:21:47.862980,0 days 00:00:10.874099,True,absolute_error,46,sqrt,2,2,871,TPESampler,COMPLETE
112,0.7020629093130739,2025-04-24 21:21:48.119971,2025-04-24 21:21:49.938664,0 days 00:00:01.818693,False,squared_error,19,sqrt,9,2,981,TPESampler,COMPLETE
113,0.5274067832507284,2025-04-24 21:21:48.941418,2025-04-24 21:21:50.523025,0 days 00:00:01.581607,True,squared_error,15,sqrt,2,46,610,TPESampler,COMPLETE
114,0.8326045883587498,2025-04-24 21:21:50.114471,2025-04-24 21:21:52.722458,0 days 00:00:02.607987,False,absolute_error,50,log2,7,41,650,TPESampler,COMPLETE
115,0.3253097395032762,2025-04-24 21:21:50.850331,2025-04-24 21:22:22.305133,0 days 00:00:31.454802,False,absolute_error,50,sqrt,1,5,776,TPESampler,COMPLETE
116,0.36676776935193445,2025-04-24 21:21:51.663023,2025-04-24 21:22:07.017712,0 days 00:00:15.354689,True,absolute_error,36,sqrt,1,3,619,TPESampler,COMPLETE
117,0.666880680151359,2025-04-24 21:21:52.893122,2025-04-24 21:22:03.020542,0 days 00:00:10.127420,False,absolute_error,6,sqrt,1,18,740,TPESampler,COMPLETE
118,0.40126351710530744,2025-04-24 21:22:03.174906,2025-04-24 21:22:12.771905,0 days 00:00:09.596999,True,absolute_error,44,log2,1,3,618,TPESampler,COMPLETE
119,0.3976439009516051,2025-04-24 21:22:07.337983,2025-04-24 21:22:25.359878,0 days 00:00:18.021895,True,absolute_error,34,,2,25,236,TPESampler,COMPLETE
120,0.3254746992878221,2025-04-24 21:22:12.942615,2025-04-24 21:22:41.731950,0 days 00:00:28.789335,False,absolute_error,49,sqrt,1,4,687,TPESampler,COMPLETE
121,0.32801844838859495,2025-04-24 21:22:16.110637,2025-04-24 21:22:43.954117,0 days 00:00:27.843480,False,absolute_error,49,sqrt,1,5,748,TPESampler,COMPLETE
122,0.3296545343165435,2025-04-24 21:22:22.479864,2025-04-24 21:22:55.730347,0 days 00:00:33.250483,False,absolute_error,47,sqrt,1,4,891,TPESampler,COMPLETE
123,0.3990129538899247,2025-04-24 21:22:25.525789,2025-04-24 21:22:27.661765,0 days 00:00:02.135976,False,squared_error,40,log2,1,5,880,TPESampler,COMPLETE
124,0.8420441218906316,2025-04-24 21:22:27.797175,2025-04-24 21:22:30.428240,0 days 00:00:02.631065,True,absolute_error,37,log2,5,31,960,TPESampler,COMPLETE
125,0.32549464471273054,2025-04-24 21:22:27.950604,2025-04-24 21:23:00.893402,0 days 00:00:32.942798,False,absolute_error,50,sqrt,1,5,875,TPESampler,COMPLETE
126,0.33320572866302206,2025-04-24 21:22:30.597409,2025-04-24 21:22:55.395242,0 days 00:00:24.797833,False,absolute_error,43,sqrt,1,5,676,TPESampler,COMPLETE
127,0.626340582510752,2025-04-24 21:22:41.971437,2025-04-24 21:22:51.681677,0 days 00:00:09.710240,False,absolute_error,50,log2,2,8,695,TPESampler,COMPLETE
128,0.32530850230660774,2025-04-24 21:22:44.263043,2025-04-24 21:23:10.400685,0 days 00:00:26.137642,False,absolute_error,49,sqrt,1,4,684,TPESampler,COMPLETE
129,0.35969198601538444,2025-04-24 21:22:51.927283,2025-04-24 21:23:09.049264,0 days 00:00:17.121981,True,absolute_error,48,sqrt,1,5,652,TPESampler,COMPLETE
130,0.48345764265233454,2025-04-24 21:22:55.606320,2025-04-24 21:23:28.249406,0 days 00:00:32.643086,False,absolute_error,23,,8,34,671,TPESampler,COMPLETE
131,0.33462912040219883,2025-04-24 21:22:55.944260,2025-04-24 21:23:31.002794,0 days 00:00:35.058534,False,absolute_error,48,sqrt,1,6,861,TPESampler,COMPLETE
132,0.7635304465585186,2025-04-24 21:23:01.256218,2025-04-24 21:23:02.559625,0 days 00:00:01.303407,True,absolute_error,26,sqrt,8,16,261,TPESampler,COMPLETE
133,0.4209920806479904,2025-04-24 21:23:02.735602,2025-04-24 21:23:23.389294,0 days 00:00:20.653692,False,absolute_error,47,sqrt,2,5,857,TPESampler,COMPLETE
134,0.49510022972666584,2025-04-24 21:23:09.385781,2025-04-24 21:23:10.896021,0 days 00:00:01.510240,False,squared_error,48,,11,16,217,TPESampler,COMPLETE
135,0.41755215652425215,2025-04-24 21:23:10.570133,2025-04-24 21:23:26.364209,0 days 00:00:15.794076,False,absolute_error,50,sqrt,2,2,644,TPESampler,COMPLETE
136,0.5979971861022042,2025-04-24 21:23:11.157399,2025-04-24 21:23:17.961375,0 days 00:00:06.803976,True,absolute_error,22,sqrt,4,7,982,TPESampler,COMPLETE
137,0.8166687894641774,2025-04-24 21:23:18.127199,2025-04-24 21:23:18.769580,0 days 00:00:00.642381,True,squared_error,31,log2,4,10,119,TPESampler,COMPLETE
138,0.33036644463843173,2025-04-24 21:23:18.929067,2025-04-24 21:23:59.015238,0 days 00:00:40.086171,False,absolute_error,48,sqrt,1,5,974,TPESampler,COMPLETE
139,0.3285259475257254,2025-04-24 21:23:23.564797,2025-04-24 21:23:55.502254,0 days 00:00:31.937457,False,absolute_error,49,sqrt,1,5,866,TPESampler,COMPLETE
140,0.3342346405262695,2025-04-24 21:23:26.527296,2025-04-24 21:23:52.127096,0 days 00:00:25.599800,False,absolute_error,49,sqrt,1,3,675,TPESampler,COMPLETE
141,0.46658105548684425,2025-04-24 21:23:28.416676,2025-04-24 21:23:32.934020,0 days 00:00:04.517344,False,squared_error,15,,6,39,924,TPESampler,COMPLETE
