number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
112,0.3496619597445462,2025-04-24 21:36:59.511128,2025-04-24 21:37:01.946220,0 days 00:00:02.435092,0.025699209332142415,10,sqrt,2,19,1428,0.814924226119659,TPESampler,COMPLETE
113,0.29038346576076896,2025-04-24 21:37:01.109483,2025-04-24 21:37:04.422605,0 days 00:00:03.313122,0.026322022784675377,7,,1,15,1148,0.7295750233769682,TPESampler,COMPLETE
114,0.3598418469857637,2025-04-24 21:37:02.135069,2025-04-24 21:37:06.000399,0 days 00:00:03.865330,0.025431570917675353,9,,4,13,1179,0.9183199421560673,TPESampler,COMPLETE
115,0.34958456443458485,2025-04-24 21:37:03.031912,2025-04-24 21:37:05.181513,0 days 00:00:02.149601,0.02323392270246005,10,log2,1,10,1280,0.8295745712013826,TPESampler,COMPLETE
116,0.31457857236521997,2025-04-24 21:37:04.599494,2025-04-24 21:37:08.539512,0 days 00:00:03.940018,0.02425122570287648,8,,3,17,1474,0.788263301354648,TPESampler,COMPLETE
117,0.2823281445296267,2025-04-24 21:37:05.357278,2025-04-24 21:37:09.039729,0 days 00:00:03.682451,0.033098803772565896,11,,1,11,1046,0.8010125098901018,TPESampler,COMPLETE
118,0.3167640531025705,2025-04-24 21:37:06.185525,2025-04-24 21:37:09.843569,0 days 00:00:03.658044,0.04358828196017815,7,,2,16,1374,0.7089805797337302,TPESampler,COMPLETE
119,0.28796602623280937,2025-04-24 21:37:08.701823,2025-04-24 21:37:13.095097,0 days 00:00:04.393274,0.06708040713183124,11,,1,20,1459,0.7759286806784327,TPESampler,COMPLETE
120,0.290071415660954,2025-04-24 21:37:09.218049,2025-04-24 21:37:13.757976,0 days 00:00:04.539927,0.03935585741421698,11,,1,9,1404,0.7774361704680381,TPESampler,COMPLETE
121,0.29462110140200015,2025-04-24 21:37:10.197171,2025-04-24 21:37:13.088754,0 days 00:00:02.891583,0.02319469575506295,11,,1,12,848,0.8097904036184369,TPESampler,COMPLETE
122,0.3362502072300119,2025-04-24 21:37:13.261207,2025-04-24 21:37:16.712847,0 days 00:00:03.451640,0.03756623922928595,10,,3,10,1045,0.869983238566705,TPESampler,COMPLETE
123,0.2871134678000845,2025-04-24 21:37:13.328688,2025-04-24 21:37:16.959084,0 days 00:00:03.630396,0.02891576438259767,7,,1,20,1417,0.6821202325946941,TPESampler,COMPLETE
124,0.2841310124600491,2025-04-24 21:37:14.017838,2025-04-24 21:37:18.291081,0 days 00:00:04.273243,0.03377289629040432,9,,1,17,1490,0.7488411830850578,TPESampler,COMPLETE
125,0.2786328037689778,2025-04-24 21:37:16.902332,2025-04-24 21:37:20.075669,0 days 00:00:03.173337,0.05506416683505129,9,,1,18,1101,0.7471782241682147,TPESampler,COMPLETE
126,0.3032782749562191,2025-04-24 21:37:17.179510,2025-04-24 21:37:21.825094,0 days 00:00:04.645584,0.02170441851482975,11,,1,8,1326,0.9014740456508971,TPESampler,COMPLETE
127,0.3264891479651304,2025-04-24 21:37:18.461748,2025-04-24 21:37:22.075631,0 days 00:00:03.613883,0.044701390248509776,8,,2,20,1362,0.7789089683937103,TPESampler,COMPLETE
128,0.28325345736140844,2025-04-24 21:37:20.254741,2025-04-24 21:37:24.136150,0 days 00:00:03.881409,0.045475966379253996,10,,1,15,1322,0.7739167865869654,TPESampler,COMPLETE
129,0.292897430879687,2025-04-24 21:37:22.001009,2025-04-24 21:37:25.402505,0 days 00:00:03.401496,0.08087954844070448,9,,1,17,1243,0.7076535756250084,TPESampler,COMPLETE
130,0.2797438353443617,2025-04-24 21:37:22.281978,2025-04-24 21:37:25.491118,0 days 00:00:03.209140,0.028156017322300587,10,,1,12,1125,0.7727592923269484,TPESampler,COMPLETE
131,0.2813026724211543,2025-04-24 21:37:24.333746,2025-04-24 21:37:27.379356,0 days 00:00:03.045610,0.06330699599714625,11,,1,17,974,0.7408013057189098,TPESampler,COMPLETE
132,0.2825919163914049,2025-04-24 21:37:25.546020,2025-04-24 21:37:29.685829,0 days 00:00:04.139809,0.050820034784528095,10,,1,15,1301,0.8394588875973471,TPESampler,COMPLETE
133,0.6225404558185539,2025-04-24 21:37:25.695850,2025-04-24 21:37:28.667983,0 days 00:00:02.972133,0.011621534916438359,8,,10,3,1288,0.6237798784367456,TPESampler,COMPLETE
134,0.3368844736477543,2025-04-24 21:37:27.557519,2025-04-24 21:37:30.741282,0 days 00:00:03.183763,0.03617648200650971,9,,2,6,1073,0.7340928695830253,TPESampler,COMPLETE
